SharingUnitID,Year,financial_indegree,financial_outdegree,financial_betweenness,external_lenders_n,external_lenders_prop,fish_indegree,fish_outdegree,fish_betweenness,internal_lenders_n,n_adults,n_children,livelihoods.remittances,livelihoods.activity,MSL2.credit_access,MSL2.expenditure,livelihoods.rank.activity_fishing,livelihoods.rank.activity_gleaning,livelihoods.rank.activity_marketing_mp,livelihoods.rank.activity_salaried_employment,livelihoods.rank.activity_informal_ea,livelihoods.rank.activity_tourism,livelihoods.rank.activity_farming,livelihoods.rank.activity_remittance,livelihoods.rank.activity_other,ageHHH,fishingq.food_consumption,food_insecurity_score,leader,livelihoods.rank.activity_atoll_farming,n_credit_sources,Com_index_commercial_share,Com_index_markets,Com_index_capital,Com_index_gear,pelagic_focus_index
132,2026,2,3,5,0,0,5,10,524.3215337,2,9,4,often,fishing gleaning tourism remittance,friends_family,560,1,2,NA,NA,NA,3,NA,4,NA,60,2,0,1,NA,1,0.8,3.5,3,2.5,0.181818182
133,2026,0,1,0,0,0,15,9,1312.472673,0,3,0,often,informal_ea remittance,no,300,NA,NA,NA,NA,1,NA,NA,2,NA,73,NA,0,0,NA,0,NA,0,NA,0,NA
134,2026,0,2,0,0,0,1,4,36.02337823,0,4,0,sometimes,fishing marketing_mp gleaning atoll_farming,no,100,1,2,3,NA,NA,NA,NA,NA,NA,33,3,2,1,4,0,0.7,3,3,2,0
135,2026,2,1,25,1,0.5,1,4,79.19971242,1,3,1,sometimes,fishing tourism atoll_farming informal_ea remittance marketing_mp,friends_family,50,1,NA,2,NA,2,4,NA,3,NA,50,1,7,1,5,1,0.9,4.166666667,3,2.833333333,0.245901639
136,2026,0,0,0,0,0,6,10,605.8666714,0,1,0,sometimes,fishing informal_ea remittance,no,30,1,NA,NA,NA,2,NA,NA,3,NA,70,1,1,NA,NA,0,0.9,3.5,0,0,NA
137,2026,0,1,0,0,0,5,5,566.2510083,0,3,4,sometimes,fishing gleaning marketing_mp informal_ea tourism farming remittance,no,70,1,3,5,NA,2,4,6,NA,NA,55,2,7,0,NA,0,0.8,4.333333333,3,3.416666667,0.218978102
138,2026,0,0,0,0,0,8,8,787.8758094,0,5,2,sometimes,fishing marketing_mp other remittance,no,40,1,NA,2,NA,NA,NA,NA,4,3,60,1,4,1,NA,0,0.9,4.333333333,3,2.5,0.333333333
139,2026,2,0,0,1,0.5,4,12,792.2301306,1,2,6,sometimes,fishing gleaning marketing_mp tourism farming,friends_family,650,1,4,3,NA,NA,2,5,NA,NA,41,1,8,1,NA,1,0.9,5.916666667,3,3.233333333,0.227272727
140,2026,0,0,0,0,0,3,4,134.3775371,0,3,1,sometimes,fishing informal_ea marketing_mp tourism gleaning remittance,local_store,40,1,5,2,NA,3,4,NA,6,NA,51,2,6,0,NA,1,0.8,4.333333333,1,1.75,0.128205128
141,2026,0,2,0,0,0,8,6,475.4367825,0,3,0,never,tourism fishing gleaning marketing_mp farming,no,55,1,5,3,NA,NA,2,4,NA,NA,66,1,13,0,NA,0,0.9,0,0,0,NA
142,2026,2,0,0,0,0,4,10,599.8119625,2,3,5,sometimes,fishing gleaning tourism informal_ea remittance marketing_mp,no,100,1,2,3,NA,4,5,NA,6,NA,38,7,12,1,NA,0,0.3,3.833333333,3,2.1,0.098360656
143,2026,1,1,7,0,0,2,4,7.039368964,1,2,2,sometimes,fishing farming remittance tourism,local_store friends_family,250,1,NA,NA,NA,NA,3,2,4,NA,38,2,2,0,NA,2,0.8,3.5,2,3.166666667,0.272727273
144,2026,3,3,71,1,0.333333333,2,4,44.30076856,2,1,0,often,fishing informal_ea,friends_family,150,2,NA,NA,NA,1,NA,NA,NA,NA,57,5,1,1,NA,1,0.5,3.5,2,3.166666667,0.272727273
145,2026,1,1,28,0,0,2,2,72.58180969,1,4,3,sometimes,fishing marketing_mp informal_ea salaried_employment tourism remittance farming,no,50,1,NA,2,5,4,6,7,3,NA,48,2,5,0,NA,0,0.8,4.333333333,3,3.833333333,0.115226337
146,2026,0,0,0,0,0,5,5,189.6082725,0,7,3,often,fishing gleaning marketing_mp informal_ea tourism atoll_farming remittance,friends_family local_store,30,1,6,2,NA,4,5,NA,3,NA,72,3,11,0,7,2,0.7,4.333333333,3,2.25,0.12
147,2026,2,3,74,0,0,5,8,471.5048847,2,6,1,sometimes,fishing gleaning informal_ea tourism remittance,friends_family,200,4,3,NA,NA,2,1,NA,5,NA,65,5,1,0,NA,1,0.5,3,1,1.5,0
148,2026,0,1,0,0,0,1,6,323.8262037,0,2,1,sometimes,fishing gleaning informal_ea tourism remittance,no,50,1,2,NA,NA,3,4,NA,5,NA,43,1,4,0,NA,0,0.9,4.166666667,2,3.5,0.176470588
149,2026,3,1,0,0,0,8,5,481.7090314,3,7,1,sometimes,tourism fishing marketing_mp informal_ea remittance,friends_family local_store,25,1,NA,2,NA,3,4,NA,5,NA,25,1,9,NA,NA,2,0.9,3.833333333,0,1.583333333,0.06
150,2026,1,0,0,1,1,13,14,1732.058367,0,5,1,sometimes,fishing informal_ea remittance,friends_family,50,1,NA,NA,NA,2,NA,NA,3,NA,74,2,3,0,NA,1,0.8,3.166666667,0,1.833333333,0.090909091
151,2026,6,4,171.5,2,0.333333333,14,17,2628.767256,4,2,0,sometimes,fishing tourism,friends_family,500,2,NA,NA,NA,NA,1,NA,NA,NA,55,1,6,0,NA,1,0.9,3.5,3,3.166666667,0.272727273
152,2026,3,0,0,0,0,6,4,84.15173037,3,4,3,sometimes,informal_ea fishing tourism marketing_mp gleaning remittance atoll_farming other,local_store friends_family,50,2,4,3,NA,6,5,NA,7,1,52,2,8,1,6,2,0.8,4.333333333,0,1.583333333,0.06
153,2026,2,0,0,0,0,11,4,382.9127903,2,3,0,sometimes,tourism remittance farming fishing marketing_mp,no,50,1,NA,2,NA,NA,5,4,3,NA,66,0,2,1,NA,0,1,3.5,3,2.5,0.181818182
154,2026,0,0,0,0,0,3,4,138.3916756,0,3,4,sometimes,fishing marketing_mp informal_ea remittance farming,no,150,1,NA,2,NA,4,NA,5,3,NA,43,2,3,1,NA,0,0.8,3.166666667,3,3,0.16
155,2026,3,2,70,1,0.333333333,8,7,662.5132537,2,3,3,sometimes,fishing gleaning tourism informal_ea remittance,friends_family,100,1,2,NA,NA,3,4,NA,5,NA,40,1,4,0,NA,1,0.9,4.166666667,3,2.25,0.12
156,2026,4,1,338,0,0,7,11,866.282408,4,2,2,sometimes,fishing marketing_mp salaried_employment remittance informal_ea,no,100,1,NA,2,3,5,NA,NA,4,NA,51,2,7,1,NA,0,0.8,4.166666667,3,2.6,0.094488189
157,2026,2,0,0,0,0,9,6,521.4942217,2,4,5,sometimes,fishing marketing_mp gleaning tourism remittance,local_store friends_family,50,1,3,2,NA,NA,4,NA,5,NA,47,3,4,NA,NA,2,0.7,3.166666667,3,2.5,0.163934426
158,2026,5,0,0,3,0.6,3,9,392.5855582,2,4,0,sometimes,fishing gleaning marketing_mp remittance farming tourism,friends_family,200,1,5,6,NA,NA,3,4,2,NA,53,2,3,1,NA,1,0.8,4.333333333,2,2.5,0.16
159,2026,1,1,63,0,0,6,8,829.1412333,1,2,2,never,fishing gleaning remittance tourism farming,no,100,1,2,NA,NA,NA,3,4,5,NA,46,2,5,0,NA,0,0.8,4.166666667,2,2.083333333,0.12
160,2026,2,3,40,1,0.5,5,5,362.7268217,1,4,2,sometimes,fishing tourism informal_ea marketing_mp gleaning remittance,friends_family,55,2,5,4,NA,1,6,NA,3,NA,56,5,6,0,NA,1,0.5,3.5,0,1.833333333,0.12
161,2026,2,2,57,1,0.5,3,4,163.8104695,1,3,3,sometimes,fishing tourism gleaning farming remittance,friends_family,50,1,1,NA,NA,NA,3,2,4,NA,NA,3,5,NA,NA,1,0.7,3,3,1.5,0
162,2026,3,2,2,1,0.333333333,4,7,168.0969892,2,5,1,often,fishing marketing_mp informal_ea tourism remittance,friends_family,600,1,NA,2,NA,3,5,NA,4,NA,66,4,5,1,NA,1,0.6,4.333333333,3,2.833333333,0.272727273
163,2026,3,2,42,2,0.666666667,6,5,554.4182968,1,2,5,never,fishing other gleaning informal_ea tourism,friends_family,200,3,4,NA,NA,1,5,NA,NA,2,42,2,8,0,NA,1,0.8,3,2,4.916666667,0.324324324
164,2026,1,0,0,0,0,4,6,211.6500141,1,2,0,sometimes,fishing marketing_mp tourism remittance atoll_farming gleaning other,local_store,200,1,3,6,NA,NA,2,NA,5,7,47,2,4,1,4,1,0.8,5,0,1.5,0.166666667
165,2026,2,1,25,1,0.5,4,5,261.8414913,1,2,1,sometimes,informal_ea fishing gleaning marketing_mp tourism atoll_farming remittance,local_store friends_family,25,1,5,4,NA,6,2,NA,7,NA,57,2,6,NA,3,2,0.8,3.5,0,1.75,0.128205128
166,2026,2,1,57,0,0,4,2,340.0494589,2,6,0,often,tourism remittance,friends_family,300,NA,NA,NA,NA,NA,2,NA,1,NA,55,NA,3,0,NA,1,NA,0,NA,0,NA
167,2026,3,1,7,0,0,7,7,389.9262055,3,3,3,sometimes,fishing gleaning tourism remittance,friends_family,20,1,2,NA,NA,NA,3,NA,4,NA,67,1,8,0,NA,1,0.9,3.5,0,0.5,0
